date,IC
2016-01-15,0.2167772524067205
2016-01-18,0.14284294245042528
2016-01-19,0.09079424016131867
2016-01-20,0.05166315258142418
2016-01-21,0.07750220668669562
2016-01-22,-0.0011289160784187706
2016-01-25,-0.06499589575427353
2016-01-26,-0.08210178926759154
2016-01-27,-0.08822207223769571
2016-01-28,-0.05809619578074957
2016-01-29,-0.1324228251039706
2016-02-01,-0.12650150589139816
2016-02-02,-0.14340707886510534
2016-02-03,-0.1618423013125463
2016-02-04,-0.15956220052950817
2016-02-05,-0.16264037665029663
2016-02-15,-0.13674855834273464
2016-02-16,-0.1456970513532175
2016-02-17,-0.17157216161631636
2016-02-18,-0.15245323149484127
2016-02-19,-0.13947483176743472
2016-02-22,-0.14528853552363402
2016-02-23,-0.12174628686903044
2016-02-24,-0.14888255747897883
2016-02-25,-0.13324180246682085
2016-02-26,-0.08514888477085371
2016-02-29,-0.02212667114088126
2016-03-01,-0.0402213793162972
2016-03-02,-0.014502955570889237
2016-03-03,0.011143259930324886
2016-03-04,0.03384175051806553
2016-03-07,0.06882269876009059
2016-03-08,0.08521060491552265
2016-03-09,0.09811184343651118
2016-03-10,0.04927196995255742
2016-03-11,0.059823713672946956
2016-03-14,0.013963073312257874
2016-03-15,-0.003691105235158996
2016-03-16,0.01356442768870258
2016-03-17,0.018831353920098434
2016-03-18,0.02898581494287963
2016-03-21,0.03120271786583664
2016-03-22,0.010924364417582731
2016-03-23,0.006526282672657137
2016-03-24,0.02258829337255971
2016-03-25,-0.001180915615881032
2016-03-28,-0.010232684544648502
2016-03-29,0.02612317424444953
2016-03-30,0.013463678890041793
2016-03-31,0.007871340658258716
2016-04-01,0.020477842016014748
2016-04-05,0.023378410452354215
2016-04-06,0.021910109493669255
2016-04-07,0.00031604482040927244
2016-04-08,0.013682257938723914
2016-04-11,0.028703777905065717
2016-04-12,0.044256448406927926
2016-04-13,0.03667397841324457
2016-04-14,0.024491860327414537
2016-04-15,-0.0121984434775478
2016-04-18,-0.052226950165379565
2016-04-19,-0.05478980538032393
2016-04-20,-0.05252214872994602
2016-04-21,-0.052299230062829626
2016-04-22,-0.05512363668709029
2016-04-25,-0.06202768442925821
2016-04-26,-0.07558891598580773
2016-04-27,-0.08696417723325146
2016-04-28,-0.11848233038928825
2016-04-29,-0.12030426124188162
2016-05-03,-0.12797326553345137
2016-05-04,-0.11104395697262484
2016-05-05,-0.13044815004541563
2016-05-06,-0.10656600702934844
2016-05-09,-0.11193427158957867
2016-05-10,-0.08885379092171332
2016-05-11,-0.05411473618559565
2016-05-12,-0.07545834085430617
2016-05-13,-0.06430899621474125
2016-05-16,-0.04529967553555985
2016-05-17,-0.0036358331469541682
2016-05-18,-0.02826396717165767
2016-05-19,-0.01929138735723572
2016-05-20,-0.021971262389884047
2016-05-23,-0.03846086564064187
2016-05-24,-0.04510916011896693
2016-05-25,-0.023171406634105236
2016-05-26,-2.0329327939732513e-05
2016-05-27,0.032436817434827875
2016-05-30,0.04178154585801527
2016-05-31,0.01871845011465715
2016-06-01,-0.0011378110561201386
2016-06-02,-0.0006298386807645837
2016-06-03,-0.006078333064204853
2016-06-06,-0.012247184999316478
2016-06-07,0.007337833220073568
2016-06-08,-0.028748122669266303
2016-06-13,-0.05118943210009652
2016-06-14,-0.0775831621631311
2016-06-15,-0.08827360348953713
2016-06-16,-0.1053786126433674
2016-06-17,-0.07529505305199752
2016-06-20,-0.07358245079867108
2016-06-21,-0.059640054646324006
2016-06-22,-0.035601911195079
2016-06-23,-0.04511042284789858
2016-06-24,-0.07145332662007761
2016-06-27,-0.10529636255092836
2016-06-28,-0.10521122173740709
2016-06-29,-0.0802339114485954
2016-06-30,-0.050314364102738506
2016-07-01,-0.034539765552004845
2016-07-04,-0.03774577877415712
2016-07-05,-0.03762507128363951
2016-07-06,-0.058586689288199205
2016-07-07,-0.06042017148168872
2016-07-08,-0.06811411395745676
2016-07-11,-0.09491176658530703
2016-07-12,-0.055526419968762855
2016-07-13,-0.04613069379607854
2016-07-14,-0.07499694995943879
2016-07-15,-0.12224755508596263
2016-07-18,-0.14755954562765117
2016-07-19,-0.1216410294666843
2016-07-20,-0.1530976371828522
2016-07-21,-0.15245364189070504
2016-07-22,-0.13724944966764901
2016-07-25,-0.10171700861075998
2016-07-26,-0.13987586088761642
2016-07-27,-0.10481860739426363
2016-07-28,-0.07603038661012883
2016-07-29,-0.0867337508272483
2016-08-01,-0.10831809605251522
2016-08-02,-0.09326478136495367
2016-08-03,-0.07774562780461426
2016-08-04,-0.11238012915408715
2016-08-05,-0.13891160590507434
2016-08-08,-0.09977242124159012
2016-08-09,-0.09633530058446192
2016-08-10,-0.15103218302417218
2016-08-11,-0.12660259599230192
2016-08-12,-0.10165437927935739
2016-08-15,-0.13167593792187177
2016-08-16,-0.14397203325930663
2016-08-17,-0.12319589859536843
2016-08-18,-0.11018063496453302
2016-08-19,-0.08661864589513237
2016-08-22,-0.06730872936693148
2016-08-23,-0.04419455555278267
2016-08-24,-0.06635289020832684
2016-08-25,-0.08852030568631648
2016-08-26,-0.084579850203545
2016-08-29,-0.046825283941344734
2016-08-30,-0.05126219009571075
2016-08-31,-0.04056214154950138
2016-09-01,-0.0371748947467609
2016-09-02,-0.013161438633988077
2016-09-05,-0.014733148449276744
2016-09-06,-0.03476154641780654
2016-09-07,-0.02223648824797145
2016-09-08,0.022041942322225623
2016-09-09,0.03790443574779247
2016-09-12,0.0737278026154128
2016-09-13,0.05370623089576431
2016-09-14,0.03444591714752669
2016-09-19,0.030382522732259196
2016-09-20,0.017667900056209794
2016-09-21,0.009675003633345017
2016-09-22,0.009628265724260726
2016-09-23,-0.004444457501310977
2016-09-26,0.04401591780793392
2016-09-27,0.04401586068844989
2016-09-28,0.043911249509817896
2016-09-29,0.04103248036430953
2016-09-30,0.019317236564855154
2016-10-10,0.008047014945538604
2016-10-11,0.01824037003032419
2016-10-12,0.03513811066290616
2016-10-13,0.03762021702917563
2016-10-14,0.01991277238001427
2016-10-17,-0.02896891893261895
2016-10-18,-0.05240024815282912
2016-10-19,-0.05271624464850911
2016-10-20,-0.0708170883117938
2016-10-21,-0.054430845137274995
2016-10-24,-0.04698218863736557
2016-10-25,-0.051292145201779
2016-10-26,-0.05298682161337751
2016-10-27,-0.026523956295279323
2016-10-28,-0.025421276457251965
2016-10-31,-0.0728424261707623
2016-11-01,-0.12182966267901309
2016-11-02,-0.1507641988595735
2016-11-03,-0.14664576479996186
2016-11-04,-0.13898869889335286
2016-11-07,-0.14639782594785422
2016-11-08,-0.1209517525740986
2016-11-09,-0.13674104820937755
2016-11-10,-0.11000909878842895
2016-11-11,-0.08410887169521021
2016-11-14,-0.047829195199929765
2016-11-15,-0.03213213489835849
2016-11-16,-0.034837770382409323
2016-11-17,-0.022140057720157567
2016-11-18,-0.03277121189365613
2016-11-21,-0.01748474694424518
2016-11-22,-0.00863038868312284
2016-11-23,-0.02219631477355543
2016-11-24,-0.048398596765086364
2016-11-25,-0.029609773120751654
2016-11-28,-0.025448592100792443
2016-11-29,0.01141521476618541
2016-11-30,0.035735650643470444
2016-12-01,0.044215035726918726
2016-12-02,0.043544462338146905
2016-12-05,0.039906429571868046
2016-12-06,0.044655292154434895
2016-12-07,0.05801901996209363
2016-12-08,0.04137712058029078
2016-12-09,0.027165566387801612
2016-12-12,0.01559206043461429
2016-12-13,-0.010332903281185997
2016-12-14,-0.040224541609652574
2016-12-15,-0.02682467281538701
2016-12-16,0.026591466602392796
2016-12-19,0.03807954449060933
2016-12-20,0.0638080998073533
2016-12-21,0.05513693693913558
2016-12-22,0.06886820094276819
2016-12-23,0.09790969541396559
2016-12-26,0.14774506034006513
2016-12-27,0.1291462432642807
2016-12-28,0.15592182948334204
2016-12-29,0.1266600900769976
2016-12-30,0.11270528791861083
2017-01-03,0.1330710279767548
2017-01-04,0.10114184817772094
2017-01-05,0.0857395412331757
2017-01-06,0.11548171583278663
2017-01-09,0.1344923785330941
2017-01-10,0.11555441934240453
2017-01-11,0.12337912979600847
2017-01-12,0.13774022650348794
2017-01-13,0.12778091506122927
2017-01-16,0.08769334603316022
2017-01-17,0.06625988470713266
2017-01-18,0.05813303808270046
2017-01-19,0.0665778196533832
2017-01-20,0.05009108872579174
2017-01-23,0.017135590243842938
2017-01-24,-0.004006949716241757
2017-01-25,0.0071393026817893335
2017-01-26,0.03006260239409215
2017-02-03,0.013336904117707216
2017-02-06,-0.012697120317695477
2017-02-07,-0.04524087876113527
2017-02-08,-0.0058921841203562805
2017-02-09,0.0038376375495935383
2017-02-10,-0.008558010238701484
2017-02-13,-0.015895489886899254
2017-02-14,-0.037525474943568934
2017-02-15,-0.010886379475571249
2017-02-16,-0.021521217943716996
2017-02-17,-0.01671017431170826
2017-02-20,-0.06564139960747728
2017-02-21,-0.05282633106252934
2017-02-22,-0.03830556501864865
2017-02-23,-0.015382201250389539
2017-02-24,0.010479338823846003
2017-02-27,0.010681417278756775
2017-02-28,-0.008553050045375432
2017-03-01,0.013114643173056
2017-03-02,0.03247189413097544
2017-03-03,0.05204336517654225
2017-03-06,0.08558332297704509
2017-03-07,0.08083129613835403
2017-03-08,0.06707888860489103
2017-03-09,0.05782022558396061
2017-03-10,0.04161864218966088
2017-03-13,0.03200223959386151
2017-03-14,0.005573562960039776
2017-03-15,-0.024954343190120697
2017-03-16,-0.05859500317547581
2017-03-17,-0.017099730116587022
2017-03-20,0.002219013052967555
2017-03-21,0.010846166972001043
2017-03-22,-0.008246343034198371
2017-03-23,-0.03752290582276001
2017-03-24,-0.02293429900072397
2017-03-27,-0.033671535611056624
2017-03-28,-0.03310995563980304
2017-03-29,-0.049153810572378456
2017-03-30,-0.0400798745722314
2017-03-31,-0.04591460698907008
2017-04-05,-0.050179129868249926
2017-04-06,-0.05663620999449439
2017-04-07,-0.07460382261087913
2017-04-10,-0.06672841083178872
2017-04-11,-0.04618633352188736
2017-04-12,-0.02444517467383278
2017-04-13,-0.0050030333011124506
2017-04-14,0.016392549196801196
2017-04-17,0.02517857280355331
2017-04-18,0.0021586842783299226
2017-04-19,-0.008028020487735852
2017-04-20,-0.028062399184032367
2017-04-21,-0.005935126832371932
2017-04-24,0.02237571134690906
2017-04-25,-0.014268308735828418
2017-04-26,-0.008356814002447878
2017-04-27,-0.02088067782375983
2017-04-28,-0.006102025269020903
2017-05-02,0.004139677968855736
2017-05-03,-0.013369720678806029
2017-05-04,-0.018582394537767756
2017-05-05,-0.008224526467125284
2017-05-08,0.0271565428693057
2017-05-09,0.047570253394991005
2017-05-10,0.05556693182836759
2017-05-11,0.03932378249644214
2017-05-12,0.032451290007993266
2017-05-15,0.028240779471270336
2017-05-16,0.0015702521777165499
2017-05-17,-0.025053959182389986
2017-05-18,0.017223521686747085
2017-05-19,0.014582319795768649
2017-05-22,0.029289083761823046
2017-05-23,0.024216265948790887
2017-05-24,0.03791771334049437
2017-05-25,0.053859171157461035
2017-05-26,0.08308078718551774
2017-05-31,0.09130828914675461
2017-06-01,0.07426267895136185
2017-06-02,0.10889903729782577
2017-06-05,0.11329412850908516
2017-06-06,0.09540720239757366
2017-06-07,0.07250836166582106
2017-06-08,0.04836097649395109
2017-06-09,0.04613179565705548
2017-06-12,0.00870511435386403
2017-06-13,0.04430292693555009
2017-06-14,0.03712948709940432
2017-06-15,0.03495330802861884
2017-06-16,0.02704493015590882
2017-06-19,0.05476796562130314
2017-06-20,0.07449381398492973
2017-06-21,0.053442539653320596
2017-06-22,0.04974692800684312
2017-06-23,0.03196447591219414
2017-06-26,0.023450775697595128
2017-06-27,0.02529718647613348
2017-06-28,0.0032715381432081754
2017-06-29,-0.053689831911759224
2017-06-30,-0.03883950481923059
2017-07-03,-0.004804044017348801
2017-07-04,0.004792954164418295
2017-07-05,0.009423494869421081
2017-07-06,0.021860594786853853
2017-07-07,0.050761913581596374
2017-07-10,0.04483877390763964
2017-07-11,0.0003378188482568513
2017-07-12,0.03962256016188362
2017-07-13,0.05386560245317267
2017-07-14,0.024881510551049764
2017-07-17,-0.0751667474813666
2017-07-18,-0.07127263957635627
2017-07-19,-0.15253721502056108
2017-07-20,-0.18004878391800064
2017-07-21,-0.16602212728819257
2017-07-24,-0.18073124027161264
2017-07-25,-0.15613985124301763
2017-07-26,-0.1400054580099518
2017-07-27,-0.025257576113666583
2017-07-28,-0.07792039664580239
2017-07-31,-0.10720576088956678
2017-08-01,-0.09007594675393145
2017-08-02,-0.09207735381841162
2017-08-03,-0.10318518099444451
2017-08-04,-0.09484186992047193
2017-08-07,-0.15085346198886956
2017-08-08,-0.12231760255014523
2017-08-09,-0.17660539016704643
2017-08-10,-0.15852143154682807
2017-08-11,-0.10662408977629494
2017-08-14,-0.09536427326709908
2017-08-15,-0.10413479732131802
2017-08-16,0.005442876557737377
2017-08-17,0.00520648722163819
2017-08-18,-0.061211314602478833
2017-08-21,-0.11107852697205242
2017-08-22,-0.1364160215518154
2017-08-23,-0.12914023081720258
2017-08-24,-0.13895854531988697
2017-08-25,-0.15189172371556342
2017-08-28,-0.11917998606909472
2017-08-29,-0.09262847103504436
2017-08-30,-0.11349787176049338
2017-08-31,-0.08462248130018078
2017-09-01,-0.10211155840857289
2017-09-04,-0.10294648709950692
2017-09-05,-0.16381281021158509
2017-09-06,-0.1365488105156251
2017-09-07,-0.11842438813477657
2017-09-08,-0.09884782180623158
2017-09-11,-0.010832078639340673
2017-09-12,-0.03719764189391424
2017-09-13,-0.04521861918421489
2017-09-14,-0.022156708112758564
2017-09-15,0.016536404008779513
2017-09-18,0.051006799128952646
2017-09-19,0.07503158806554411
2017-09-20,0.08139507440980724
2017-09-21,0.13451219632512482
2017-09-22,0.1525384446416421
2017-09-25,0.16177526178128435
2017-09-26,0.12594999512203603
2017-09-27,0.1024094998694398
2017-09-28,0.10080981978058651
2017-09-29,0.09216544160728984
2017-10-09,0.11428097126582981
2017-10-10,0.17701628062860117
2017-10-11,0.1842941523298458
2017-10-12,0.18225959374609196
2017-10-13,0.1706605542729672
2017-10-16,0.12140857991961548
2017-10-17,0.14654849657570318
2017-10-18,0.11974368659319225
2017-10-19,0.10502690773559008
2017-10-20,0.1016715258785273
2017-10-23,0.12548983877369954
2017-10-24,0.11511971647404459
2017-10-25,0.12489972958198158
2017-10-26,0.0952339772419218
2017-10-27,0.13695786083957967
2017-10-30,0.09646174270632955
2017-10-31,0.11992988090600984
2017-11-01,0.166901280120045
2017-11-02,0.14335054305243275
2017-11-03,0.13616451432770182
2017-11-06,0.16590861163490705
